"transect","year","count","elevation","edge","P_forest","P_farmland","P_Orchard","edge_length"
"B38-01",2015,0,0.36826213395046,-1.79933723893497,1.22173935828793,NA,NA,-1.79676085154961
"A33-07",2015,0,-0.446044415871278,0.154239466114636,-0.648396385308207,-0.231125280914165,NA,0.613186849943088
"B11-01",2015,0,1.06340187160316,-0.275479028323626,0.668804721305057,NA,NA,0.193623856557423
"A33-11",2015,0,-0.622387223777982,0.222708291567464,-1.25419251904041,0.934432690717041,-0.48246446986754,0.620555824187245
"A04-10",2015,0,-0.761415171308522,0.717957194278327,-0.220623688677721,-0.723138750799906,NA,-0.254826435057202
"A03-10",2015,0,-0.780674454083316,0.479720362774145,-0.16854108917975,-0.527659380242453,-0.582340492254425,-0.479738097968685
"A32-06",2015,0,0.316502811493203,0.773032728921011,-0.0998801754498645,0.205512103945354,NA,0.240319931683951
"A35-08",2015,0,-0.569424196147299,0.745697591461358,-0.464289772269106,0.00318036472891514,NA,0.968678201341766
"A35-13",2015,0,-0.787294832537151,0.122241635738237,-1.91144463704756,2.4052042234946,-0.568238397558022,0.611954070406217
"A33-12",2015,0,-0.729516984212771,1.05580465112733,-1.86472775254928,0.934465814922791,-0.217356270543574,0.963529470711718
"A09-13",2015,0,-0.751183677334413,1.63634354270978,-1.91216464449053,1.75495116619297,-0.389327152193001,1.59436750488884
"A19-04",2015,0,-0.622387223777982,0.38008053677697,-1.10314613395176,0.813895122950964,3.3011155625804,-0.060362958865331
"A27-17",2015,0,-0.61155387721716,1.04399444387093,NA,1.69704836772993,-0.580971889180697,1.52913357716347
"A40-10",2015,0,-0.804146704965095,0.463078644909408,NA,1.82808179584836,-0.198407601541122,0.231659078469141
"A36-09",2015,0,-0.773452223042768,1.59810252821703,-1.83186601731066,1.71181972634771,-0.501578190927846,2.03398548708418
"A36-02",2015,0,-0.674146546235239,1.44747452718481,-0.347815391303699,0.305481485041152,NA,1.48324440361102
"A03-03",2015,0,-0.801739294618246,-0.25482831902187,-1.90992799045755,-0.646281826891587,NA,-0.660115818886425
"A02-03",2015,0,-0.514053758169768,0.746478372782706,0.407858592408689,-0.938510404336409,NA,1.27930785570046
"A36-01",2015,0,-0.430998101203471,-0.192813784185725,0.403367767950766,-0.89945626109142,NA,0.0247235093100102
"A27-21",2015,0,-0.795118916164411,1.11276573184505,-1.81405987232076,0.817578996984886,-0.517818369479858,1.45491140086514
"A27-33",2015,0,-0.788498537710576,0.6075246329773,-1.91743671969309,1.76500030301392,0.600185911611757,1.02904879263661
"A10-02",2015,0,0.00233576122938339,0.331590997381902,0.597156045673479,-1.01772321842685,NA,0.835321522343634
"A27-08",2015,0,-0.747572561814139,1.36347355076514,0.304098150385568,-0.358894151589325,NA,1.40961602521993
"A39-04",2015,0,-0.703035470397429,1.05604365857983,NA,1.9360438306402,-0.354351114753728,0.429469466038084
"A29-12",2016,0,-0.759609613548385,0.617750449978084,NA,0.55173294948376,-0.550819142487892,0.00897234050513039
"A27-08",2016,0,-0.747572561814139,1.36347355076514,0.304098150385568,-0.358894151589325,NA,1.40961602521993
"A22-01",2016,0,-0.00428461722445189,-1.32353714608797,0.747335472626578,-0.519999733766876,NA,-1.48573952180498
"B33-01",2016,0,0.36826213395046,0.99968265297877,-0.0131813893401459,-0.855966828704611,NA,-0.0166567053519148
"A36-14",2016,0,-0.628405749645105,0.367705771041359,-0.427367348997346,0.592733816886116,NA,0.846378652482379
"A05-06",2016,0,-0.369007284772104,-0.157488777612906,0.875216023405893,-1.07508819650394,NA,-0.203123467009933
"B10-03",2016,0,1.03029997933399,0.0707701792897348,0.508700058954363,NA,NA,-0.00527346076103557
"A34-06",2016,0,-0.762017023895235,0.584963290915058,NA,0.986786899785516,1.15493444768801,-0.0915966657534316
"A29-08",2016,0,-0.597109415136065,1.1704304225998,-1.94142001401206,0.927200754101966,NA,0.395415387071018
"B28-01",2016,0,0.88946647404331,-1.91217479976094,1.22173935828793,NA,NA,-1.73320449070655
"A26-01",2016,0,-0.740350330773592,0.585115325185068,-0.120599694465829,-0.170519807337449,NA,0.097797476017739
"A27-19",2016,0,-0.802341147204959,1.34161165445632,-1.88628242489396,1.47119481960301,0.284731879265293,1.31466637755472
"A34-17",2016,0,-0.801739294618246,0.894274806333797,-1.92691322629183,2.1267502139241,NA,1.33553997225347
"A22-08",2016,0,-0.54595194526552,1.04434758009048,-0.846436459441937,0.829434875116714,-0.452650401075962,0.800328654787759
"A28-09",2016,0,-0.659100231567432,0.655902821851959,0.235252183245902,-0.828472153607098,NA,-0.198937192093394
"A18-02",2016,0,-0.687989155729622,0.416816858770464,-1.46660944313851,0.0374743661502063,2.8247865742485,0.93711255632142
"A09-24",2016,0,-0.704239175570854,-1.66707959891959,NA,NA,NA,-1.42554277705464
"A34-24",2016,0,-0.799933736858109,0.285271153498753,-1.60917284310965,0.0479213693872459,-0.283485682709301,-0.130365190673064
"A03-06",2016,0,-0.740952183360304,0.336179984921768,-1.91607968036699,2.47006482658373,NA,-0.41857215432555
"A32-03",2016,0,-0.316646109728134,1.69875680122297,-1.15538633863799,1.52601039076931,0.0062510011041671,2.32934509757485
"A40-12",2016,0,-0.804748557551808,0.534795602489685,NA,0.813293859866815,-0.370958656966621,0.738932795735883
"A34-34",2016,0,-0.790905948057425,-1.52033808046408,NA,-1.05744865255029,NA,-1.6187279954574
"A36-16",2016,0,-0.675952103995376,-0.133269041519213,0.782504879332796,-0.739300208928637,NA,0.322451424021736
"A19-06",2016,0,-0.644053916899624,1.60940246152356,-0.897886443094138,0.44549067093317,NA,1.27568851768887
"A09-01",2017,0,-0.310627583861011,-1.77058829418456,1.22173935828793,NA,NA,-1.77636033788823
