"transect","year","count","elevation","edge","P_forest","P_farmland","P_Orchard","Shannon","edge_length"
"A16-02",2015,0,-0.575239392423367,0.0704265552710035,0.0807040069448298,NA,NA,0.896878146860833,-0.559512826546323
"A28-02",2015,0,-0.231130059769791,-1.17951234336024,0.654005628496373,-0.444569632451645,NA,0.489620349476627,-1.42427017753145
"B32-04",2015,0,1.56419853363359,-0.552370703171868,0.886730267583637,NA,NA,0.402054354780103,-0.30055936789865
"A24-02",2015,0,-0.594356577570788,0.395448864127204,-0.4117158710885,0.281066101021492,NA,1.1538808149649,0.949756630068563
"A19-01",2015,0,-0.430173693363526,-1.70910089862011,1.16527381415168,NA,NA,0.082119788385105,-1.73252497973004
"A04-03",2015,0,-0.250247244917212,0.378658978256345,0.670126595810634,-0.935459906484844,NA,0.670804896082491,0.909203261981515
"A09-23",2015,0,-0.687131152550919,1.40753608914198,-1.17785859522195,0.714392047979207,-0.140667580953675,1.29653632965615,0.670461065098373
"A33-07",2015,0,-0.466158983052789,0.195570661364504,-0.655829050766956,-0.279992681773371,NA,1.16836562271934,0.699339777812642
"A19-05",2015,0,-0.690504773459288,0.083745017608627,-1.90034461500899,2.011901262132,-0.480772859889772,0.596961310143038,0.0328256299896477
"A20-02",2015,0,-0.643836350893525,2.25157698156762,-0.290323701504213,-0.00525730288579202,-0.521385161428741,1.1346787488301,1.88133764723246
"A37-02",2015,0,-0.597167928327762,-0.0788570320034678,-0.520915172121097,0.614339510774444,-0.356277969454509,1.04755651318626,-0.237167741640511
"A19-04",2015,0,-0.630904137411446,0.425756537854998,-1.11099690252275,0.74584295033763,3.1920513900942,1.40426251064849,0.00323633446415261
"A36-14",2015,0,-0.636526838925393,0.413143702249578,-0.434596797349863,0.528741784306418,NA,1.0507624578843,0.940339945261894
"A34-07",2015,0,-0.79171340071034,0.859674181452702,-1.89532705128727,2.06921698861124,-0.515122905570511,0.710544846376365,1.26694603419056
"A33-18",2015,0,-0.766973514048971,1.16505597190565,NA,1.32098435743775,0.578542255242165,0.904204388195958,1.60873697873605
"B32-02",2015,0,0.968192173155175,-0.210169830344186,0.717630233532798,-1.12711448292006,NA,0.58126912273165,0.0208942560239579
"A03-10",2015,0,-0.778781187228261,0.527313268051395,-0.175532569143973,-0.571082926616246,-0.562337471346489,0.975918403527477,-0.430181468594909
"C37-02",2015,0,2.76127168595298,-1.79901240813609,1.13529846822031,NA,NA,0.118671843066913,-1.83225477493463
"A22-01",2015,0,-0.0534526919290549,-1.31063591009479,0.741186062046822,-0.5635638980356,NA,0.450989819331335,-1.46986858005708
"A33-05",2015,0,-0.769784864805945,0.212459679769055,NA,2.21176389883065,1.49962724423598,0.634687437084469,-0.465888768750957
"A28-10",2015,0,-0.610662411961236,-0.236392693975541,1.0368700656602,-1.10499137386125,NA,0.252847493684028,-0.568638709431668
"B32-01",2015,0,1.95216493809596,-0.530488884302652,0.881170594748108,NA,NA,0.403772363791763,-0.503186969406032
"A35-08",2015,0,-0.581424364088709,0.798407455358974,-0.471553167600434,-0.0499884835620735,NA,1.17749441117501,1.06673466168472
"A35-12",2015,0,-0.787215239499182,0.379579660056799,NA,2.19252301673371,-0.305928751131259,0.502674956231317,0.875279695061903
"A04-09",2016,0,-0.798460642527076,-1.58483667007609,-1.94248395912697,NA,NA,0.0202027035796484,-1.22278655556032
"A09-27",2016,0,-0.664078076343735,1.50691686001301,-0.487345820138283,-0.512155279631888,NA,1.13628124837408,-0.494803755445915
"C37-04",2016,0,2.12759322533112,-0.0522347614465488,0.927179666603667,NA,NA,0.368136106002016,0.195905425212883
"A09-16",2016,0,-0.697814285427419,1.01954869454225,-1.78952876675143,1.39165174575499,-0.423808654802675,0.918488340827655,1.53673765431421
"B16-02",2016,0,1.86782441538675,-0.194958556454341,0.455930762629457,-1.1320625463807,NA,0.56177661014044,-0.860109995504197
"B33-02",2016,0,0.210252009075075,1.01942605863552,-0.0247788162307619,0.164574806131872,NA,0.851367465498925,1.2270603985621
"A34-24",2016,0,-0.796773832072892,0.329123180045385,-1.61748885952874,-0.0060688465624466,-0.273415142291857,1.28707887265867,-0.0691099032842456
