"transect","year","count","elevation","edge","P_forest","P_farmland","Shannon","edge_length"
"A27-07",2015,0,-0.778614031624948,1.64012932401921,-1.19026621824288,1.26586571743392,0.768626637775624,0.340720255059207
"A19-06",2015,0,-0.678997129937632,1.73819601535876,-0.949404762617825,0.388561717130105,1.45082747040423,1.46161155698881
"A04-03",2015,0,-0.266050322361725,0.430724228602987,0.656666409247145,-0.920471257205898,-0.0594830106456422,0.985459107944016
"A28-04",2015,0,-0.41663401095883,-1.34506218690991,0.673011978731093,NA,-0.564441010769891,-1.45491677326921
"A22-07",2015,0,-0.579380228250317,0.816561504410809,-1.40622822039833,1.57634263380693,0.579295543666963,0.339207904849057
"A28-06",2015,0,-0.0662373509540283,0.502771250819324,-0.662677035493118,0.900032603672904,0.595626694802947,0.755026003466276
"A09-06",2015,0,-0.579380228250317,-0.236511287104745,0.622845426228477,-0.781002134588319,-0.108798801189933,-0.543952095303812
"A39-01",2015,0,-0.49771753558804,0.349124690142368,0.195545188837207,-0.619785620599604,0.697741355442019,-0.337258974706623
"A19-05",2015,0,-0.719538892252237,0.117010557271469,-1.96339132907412,2.01157486751816,-0.286987275873311,0.0916462208790043
"B38-04",2015,0,1.94347572378426,-0.556939547522125,0.488831479185574,NA,-0.0510398856278173,-0.714590104009598
"A37-07",2015,0,-0.490188351158185,0.692106957952417,-0.0849667107595797,-0.102596085901074,0.898677453714203,0.216163726007991
"A03-06",2015,0,-0.772243183261224,0.433090056929349,-1.98819399392528,2.35996139324117,-0.66885333868063,-0.294287717452524
"A37-04",2015,0,-0.769347343095895,0.490363407777462,-1.94014003143379,1.75383384027934,-0.025546496627782,0.696536700576362
"C30-01",2015,0,2.83771116683783,-1.28572429274475,-1.7459584637474,NA,-0.635445093711417,-1.26354728836568
"C37-04",2015,0,2.18325128947349,-0.00262288782299165,0.918678247565218,NA,-0.838131468033218,0.270162424246903
"A19-02",2015,0,-0.645405384019816,0.631732514456626,-1.73711160958233,0.833736741395228,1.73504757318326,1.20603577965906
"A12-01",2015,0,-0.374354744545028,0.915523247306365,-0.101737490481033,0.0132368958924802,0.833137347478698,1.53393136115761
"A40-10",2015,0,-0.833055826733132,0.535874995655864,NA,1.77236261545976,-0.229890318119361,0.356617607485785
"A21-01",2015,0,-0.481500830662198,1.32867783637392,-1.30211440876039,0.896197608158566,1.05852541064051,1.40019097986278
"A04-09",2015,0,-0.830739154600868,-1.5439509614021,-2.00634357618717,NA,-1.73322807511238,-1.15250510217084
"B10-03",2015,0,0.93224833805139,0.161033974727233,0.485634145265676,NA,-0.132391437694072,0.134047123900217
"B06-01",2015,0,0.563897469021549,-1.71109488235746,1.20935254051593,NA,-1.76205536693751,-1.4142425700784
