"年","樣區名稱","樣區編號","樣點代號","TWD97_X","TWD97_Y"
2024,"礁溪","MA-A04-07","4","328378","2749071"
2024,"仁澤A","MA-A01-02","3","301314","2715672"
2024,"仁澤A","MA-A01-02","5","301538","2715507"
2024,"迴頭灣","MA-G29-12","9","299467","2677308"
2024,"花蓮縣龍澗","MA-G28-14","1","293234","2655397"
2024,"原荖腦山東方","MA-G28-09","8","296222","2637529"
2024,"台東縣內本鹿古道","MA-H33-15","7","254001","2530027"
2024,"台東縣內本鹿古道","MA-H33-15","2","253708","2530359"
2024,"台東8林班","MA-H32-06","2","253636","2519785"
2024,"台東8林班","MA-H32-06","5","253567","2519197"
2024,"武界林道（久久巢山）","MA-D17-06","5","255790","2642499"
2024,"麻竹湖吊橋","MA-E22-12","4","213449","2574960"
2024,"奉龍谷瀑布","MA-E22-13","1","210252","2572885"
2024,"龜丹溫泉","MA-E19-15","7","200542","2558574"
2024,"鈺鼎","MA-E19-08","1","199624","2553424"
2024,"明池","MB-A01-03","1","296494","2726348"
2024,"明池","MB-A01-03","6","297111","2726731"
2024,"明池","MB-A01-03","8","297263","2727038"
2024,"泰崗","MB-B08-06","6","280654","2720893"
2024,"紅毛山（大坪）","MB-B06-11","7","249062","2713764"
2024,"大雪山210林道B","MB-C11-11","10","248366","2684443"
2024,"大雪山210林道B","MB-C11-11","5","247900","2683023"
2024,"大雪山210林道B","MB-C11-11","9","248404","2684178"
2024,"大雪山210林道B","MB-C11-11","3","247694","2682435"
2024,"小笠原山","MB-E20-13","5","231454","2599418"
2024,"瑪雅","MB-F24-01","4","220514","2571455"
2024,"羅區71-72林班","MA-A02-04","2","325641","2722361"
2024,"羅區73-75，79-80林班","MA-A02-05","5","327665","2722406"
2024,"新店十六分","MA-A03-05","3","311032","2759828"
2024,"宜30","MA-A04-01","2","320721","2744832"
2024,"宜40","MA-A04-02","5","316612","2738618"
2024,"和區2林班","MA-A05-01","3","323424","2690063"
2024,"和區2林班","MA-A05-01","4","323286","2689914"
2024,"和區2林班","MA-A05-01","2","323627","2690082"
2024,"和區88林班","MA-A05-03","6","326197","2691499"
2024,"南庄3林班","MA-B06-06","8","248363","2719991"
2024,"洞口(復興分站)","MA-B07-02","6","285232","2738937"
2024,"哈盆越嶺古道","MA-B09-03","2","302107","2740975"
2024,"安區129、130林班","MA-C12-05","2","241358","2687640"
2024,"安區129、130林班","MA-C12-05","5","242000","2687950"
2024,"安區130、131林班","MA-C12-06","1","241045","2685746"
2024,"安區118、119林班","MA-C12-07","3","244770","2687163"
2024,"安區115林班","MA-C12-09","6","244241","2691396"
2024,"安區115林班","MA-C12-09","5","244128","2691565"
2024,"水底寮","MA-C12-12","5","231400","2671061"
2024,"勢麗仙區41","MA-C13-08","6","245024","2676403"
2024,"孫海橋","MA-D14-01","9","251784","2631222"
2024,"巒大25林班","MA-D14-07","3","241351","2635785"
2024,"巒大25林班","MA-D14-07","4","241333","2635588"
2024,"巒大25林班","MA-D14-07","6","241300","2635253"
2024,"白不仔溪橋","MA-D15-05","3","234272","2621875"
2024,"白不仔溪橋","MA-D15-05","4","234260","2622182"
2024,"菩提寺","MA-D16-01","5","232453","2658912"
2024,"國姓埔源","MA-D16-06","1","240483","2661889"
2024,"武界水庫","MA-D17-05","2","256572","2645710"
2024,"武界水庫","MA-D17-05","5","257244","2646461"
2024,"勞水坑","MA-D18-04","2","216506","2616212"
2024,"勞水坑","MA-D18-04","4","216099","2616372"
2024,"隙頂國小草山分校","MA-E22-03","6","213229","2584509"
2024,"山麻湖公車站","MA-E22-04","1","210662","2584198"
2024,"山麻湖公車站","MA-E22-04","2","210706","2583965"
2024,"蘆籐坪","MA-E22-05","1","212924","2582729"
2024,"大埔事業區39林班","MA-E22-06","5","205007","2581636"
2024,"九恭崎腳","MA-E22-08","5","213293","2577052"
2024,"長枝坑溪","MA-E22-09","3","209186","2573693"
2024,"長枝坑溪","MA-E22-09","6","209636","2573158"
2024,"扇平林道","MA-F23-09","6","214591","2540817"
