"年","樣區名稱","樣區編號","樣點代號","TWD97_X","TWD97_Y"
2022,"礁溪","MA-A04-07","2","328210","2749447"
2022,"福巴越嶺古道（檜山）","MA-B09-15","3","301178","2740121"
2022,"西坑","MA-B09-01","7","309928","2748853"
2022,"仁澤B","MA-A01-01","3","301000","2716706"
2022,"宜蘭縣猴猴坑","MA-A02-07","7","337824","2716426"
2022,"宜蘭縣猴猴坑","MA-A02-07","9","337692","2716850"
2022,"宜蘭縣烏石鼻","MA-A05-06","7","334992","2709173"
2022,"南區82、83林班","MA-A05-05","1","321166","2702419"
2022,"鴛鴦谷瀑布","MA-B08-04","7","277699","2738322"
2022,"洛韶","MA-G29-07","5","297606","2677202"
2022,"洛韶","MA-G29-07","6","296849","2677356"
2022,"洛韶","MA-G29-07","9","295842","2677973"
2022,"呂華礦場","MA-G28-08","2","292498","2637677"
2022,"原荖腦山東方","MA-G28-09","8","296222","2637529"
2022,"原荖腦山東南方","MA-G28-10","1","296918","2636921"
2022,"原荖腦山東南方","MA-G28-10","3","296573","2636843"
2022,"台東縣內本鹿古道","MA-H33-15","3","253568","2530206"
2022,"台東縣內本鹿古道","MA-H33-15","6","252887","2530120"
2022,"台東8林班","MA-H32-06","4","253678","2519373"
2022,"台東8林班","MA-H32-06","1","253505","2519886"
2022,"中壽山","MA-F24-14","3","174758","2505947"
2022,"中壽山","MA-F24-14","4","174466","2506106"
2022,"中壽山","MA-F24-14","6","174542","2505653"
2022,"公興國小","MA-E22-11","4","212933","2590477"
2022,"麻竹湖吊橋","MA-E22-12","3","213312","2575146"
2022,"奉龍谷瀑布","MA-E22-13","2","210392","2572703"
2022,"奉龍谷瀑布","MA-E22-13","6","210858","2573245"
2022,"奉龍谷瀑布","MA-E22-13","4","210598","2572840"
2022,"馬頭山路口公車站","MA-E22-07","3","209959","2580337"
2022,"馬頭山路口公車站","MA-E22-07","5","209794","2579858"
2022,"鈺鼎","MA-E19-08","5","200014","2554340"
2022,"朱厝","MA-F24-13","5","208632","2533084"
2022,"明池","MB-A01-03","4","296835","2726455"
2022,"明池","MB-A01-03","7","296264","2726455"
2022,"明池","MB-A01-03","8","297263","2727038"
2022,"明池","MB-A01-03","5","297014","2726548"
2022,"二本松","MB-B06-10","2","249532","2699908"
2022,"540林道停車場","MB-C12-02","3","248163","2692034"
2022,"磐石（瀧溪山）","MB-G28-13","5","289134","2658445"
2022,"磐石（瀧溪山）","MB-G28-13","6","288987","2658668"
2022,"磐石（瀧溪山）","MB-G28-13","2","289612","2657702"
2022,"錦屏林道","MB-H33-02","8","266328","2561053"
2022,"金山段","MB-H31-12","2","245842","2505891"
2022,"金山段","MB-H31-12","5","246087","2505445"
2022,"金山段","MB-H31-12","4","245890","2505537"
2022,"馬拉邦山","MB-B06-12","9","240325","2695806"
2022,"大雪山210林道B","MB-C11-11","1","247441","2682216"
2022,"大雪山210林道B","MB-C11-11","4","247849","2682592"
2022,"大雪山210林道B","MB-C11-11","8","248304","2683922"
2022,"瑞岩溪水管路","MB-D17-01","6","271050","2667247"
2022,"下加年端社","MB-D14-10","1","257696","2627729"
2022,"巒大58林班","MB-D14-06","4","243706","2626476"
2022,"森鐵41號隧道","MB-E21-12","4","225344","2598590"
2022,"高雄縣南橫，天池","MB-E19-12","3","241460","2574904"
2022,"小雪山雷達站","MC-C11-12","3","254445","2687713"
2022,"羅區71-72林班","MA-A02-04","3","325705","2722550"
2022,"羅區71-72林班","MA-A02-04","4","325812","2722719"
2022,"羅區71-72林班","MA-A02-04","6","325947","2723092"
2022,"羅區73-75，79-80林班","MA-A02-05","1","327929","2722894"
2022,"汐止四分尾山","MA-A03-03","6","318242","2770395"
2022,"松羅步道","MA-A04-08","5","306046","2729291"
2022,"和區88林班","MA-A05-03","6","326197","2691499"
2022,"大溪事業區42林班","MA-B07-06","3","291224","2728781"
2022,"大溪事業區43林班","MA-B07-07","5","291916","2726856"
2022,"穿棟林道","MA-C11-06","4","240881","2682832"
2022,"安區130、131林班","MA-C12-06","4","241663","2685283"
2022,"巒大25林班","MA-D14-07","2","241438","2635993"
2022,"巒大25林班","MA-D14-07","3","241351","2635785"
2022,"巒大8林班","MA-D15-02","4","235398","2643540"
2022,"白不仔溪橋","MA-D15-05","2","234301","2621614"
2022,"仙女瀑布","MA-D16-02","2","231424","2668509"
2022,"仙女瀑布","MA-D16-02","5","231054","2668823"
2022,"仙女瀑布","MA-D16-02","3","231609","2668680"
2022,"清水岩","MA-D18-09","3","211300","2642073"
2022,"公田","MA-E21-02","2","214380","2594708"
2022,"獨立山","MA-E21-09","4","209636","2604285"
2022,"獨立山","MA-E21-09","6","209266","2604547"
2022,"瑞里","MA-E21-10","4","215565","2603215"
2022,"瑞里","MA-E21-10","6","215279","2603065"
2022,"瑞峰","MA-E21-11","5","216547","2606815"
2022,"瑞峰","MA-E21-11","6","215889","2606823"
2022,"天馬瀑布","MA-E22-02","3","210166","2585953"
2022,"隙頂國小草山分校","MA-E22-03","1","212964","2585464"
2022,"隙頂國小草山分校","MA-E22-03","2","213515","2585418"
2022,"隙頂國小草山分校","MA-E22-03","6","213229","2584509"
2022,"蘆籐坪","MA-E22-05","3","212546","2582561"
2022,"蘆籐坪","MA-E22-05","2","212674","2582757"
2022,"大埔事業區39林班","MA-E22-06","1","204912","2581826"
2022,"大埔事業區39林班","MA-E22-06","2","204736","2581604"
2022,"九恭崎腳","MA-E22-08","6","213312","2576795"
2022,"長枝坑溪","MA-E22-09","5","209558","2573452"
2022,"長枝坑溪","MA-E22-09","2","209012","2573845"
2022,"第三莊公車站","MA-E22-10","4","205591","2569747"
2022,"扇平林道","MA-F23-09","1","215110","2539754"
2022,"十八羅漢山","MA-F23-11","4","212882","2538394"
2022,"十八羅漢山","MA-F23-11","3","213035","2538591"
2022,"34林班","MA-F24-03","3","207148","2549753"
2022,"47,49林班","MA-F24-04","4","209158","2539162"
2022,"旗尾","MA-F24-06","2","197879","2532187"
2022,"46林班","MA-F24-08","6","207651","2538798"
2022,"大津瀑布(慈津保宮)","MA-F25-01","4","213258","2528899"
2022,"三地門園區","MA-F25-04","4","216812","2511296"
