"年","樣區名稱","樣區編號","樣點代號","TWD97_X","TWD97_Y"
2023,"福巴越嶺古道（檜山）","MA-B09-15","3","301178","2740121"
2023,"福巴越嶺古道（檜山）","MA-B09-15","6","301063","2739621"
2023,"宜蘭縣猴猴坑","MA-A02-07","6","337811","2716213"
2023,"宜蘭縣猴猴坑","MA-A02-07","4","337891","2715743"
2023,"寒溪","MA-A02-08","4","319083","2720049"
2023,"南區82、83林班","MA-A05-05","5","320936","2702011"
2023,"原荖腦山東南方","MA-G28-10","1","296918","2636921"
2023,"原荖腦山東南方","MA-G28-10","6","296104","2637093"
2023,"楓林步道","MA-G28-12","3","305396","2651962"
2023,"台東縣內本鹿古道","MA-H33-15","3","253568","2530206"
2023,"台東縣內本鹿古道","MA-H33-15","6","252887","2530120"
2023,"台東8林班","MA-H32-06","1","253506","2519886"
2023,"中壽山","MA-F24-14","3","174758","2505947"
2023,"公興國小","MA-E22-11","3","212646","2590853"
2023,"公興國小","MA-E22-11","1","212386","2591530"
2023,"麻竹湖吊橋","MA-E22-12","4","213449","2574960"
2023,"奉龍谷瀑布","MA-E22-13","5","210768","2573018"
2023,"馬頭山路口公車站","MA-E22-07","5","209794","2579858"
2023,"馬頭山路口公車站","MA-E22-07","2","210050","2580553"
2023,"馬頭山路口公車站","MA-E22-07","3","209959","2580337"
2023,"馬頭山路口公車站","MA-E22-07","4","209824","2580097"
2023,"明池","MB-A01-03","5","297014","2726548"
2023,"明池","MB-A01-03","8","297263","2727038"
2023,"明池","MB-A01-03","1","296494","2726348"
2023,"司馬限山","MB-B06-09","1","245864","2700233"
2023,"二本松","MB-B06-10","2","249532","2699908"
2023,"540林道停車場","MB-C12-02","6","248398","2691533"
2023,"磐石（瀧溪山）","MB-G28-13","5","289134","2658445"
2023,"南部橫貫公路 1687","MB-H33-16","4","252406","2567696"
2023,"錦屏林道","MB-H33-02","8","266328","2561053"
2023,"台東縣大武山雙鬼湖利嘉林道","MB-H32-07","2","250852","2526047"
2023,"馬拉邦山","MB-B06-12","8","240400","2695607"
2023,"大雪山210林道B","MB-C11-11","4","247849","2682592"
2023,"大雪山210林道B","MB-C11-11","6","248000","2683317"
2023,"瑞岩溪水管路","MB-D17-01","5","270833","2667137"
2023,"瑪雅","MB-F24-01","3","220562","2571657"
2023,"小雪山雷達站","MC-C11-12","3","254445","2687713"
2023,"羅區66林班","MA-A02-03","2","323862","2725328"
2023,"羅區66林班","MA-A02-03","3","323749","2725152"
2023,"羅區66林班","MA-A02-03","6","323348","2724770"
2023,"羅區73-75，79-80林班","MA-A02-05","1","327929","2722894"
2023,"羅區101林班","MA-A02-06","4","332303","2721139"
2023,"和區2林班","MA-A05-01","2","323627","2690082"
2023,"和區2林班","MA-A05-01","4","323286","2689914"
2023,"1329區外保安林","MA-B06-01","5","236628","2705325"
2023,"大溪事業區43林班","MA-B07-07","2","291491","2727438"
2023,"哈盆越嶺古道","MA-B09-03","2","302107","2740975"
2023,"1065區外保安林","MA-B09-04","2","301943","2752890"
2023,"安區129、130林班","MA-C12-05","3","241550","2687800"
2023,"安區118、119林班","MA-C12-07","4","245098","2686834"
2023,"安區118、119林班","MA-C12-07","5","245055","2686459"
2023,"水底寮","MA-C12-12","3","231089","2670866"
2023,"勢麗仙區111","MA-C13-04","1","248227","2674700"
2023,"勢麗仙區31","MA-C13-12","3","243401","2675491"
2023,"孫海橋","MA-D14-01","2","250493","2631204"
2023,"巒大25林班","MA-D14-07","10","241348","2634528"
