"樣區編號","樣區名稱","樣點編號","TWD97_X","TWD97_Y","年"
"MA-A02-03","羅區66林班","2","323862","2725328",2023
"MA-A02-03","羅區66林班","3","323749","2725152",2023
"MA-A02-05","羅區73-75，79-80林班","1","327929","2722894",2023
"MA-A02-06","羅區101林班","4","332303","2721139",2023
"MA-A02-07","宜蘭縣猴猴坑※","6","337811","2716213",2023
"MA-A05-01","和區2林班","2","323627","2690082",2023
"MA-A05-01","和區2林班","4","323286","2689914",2023
"MA-A05-05","南區82、83林班","5","320936","2702011",2023
"MA-B09-03","哈盆越嶺古道","2","302107","2740975",2023
"MA-B09-04","1065區外保安林","2","301943","2752890",2023
"MA-B09-15","福巴越嶺古道(檜山)※","3","301178","2740121",2023
"MA-B09-15","福巴越嶺古道(檜山)※","6","301063","2739621",2023
"MA-C12-05","安區129、130林班","3","241550","2687800",2023
"MA-C12-07","安區118、119林班","4","245098","2686834",2023
"MA-C12-07","安區118、119林班","5","245055","2686459",2023
"MA-C13-04","勢麗仙區111","1","248227","2674700",2023
"MA-C13-12","勢麗仙區31","3","243401","2675491",2023
"MA-D15-05","白不仔溪橋","4","234260","2622182",2023
"MA-D16-02","仙女瀑布","2","231424","2668509",2023
"MA-D16-02","仙女瀑布","4","231713","2668891",2023
"MA-D16-06","國姓埔源","5","240496","2662250",2023
"MA-D18-01","阿里山61林班","1","214300","2627552",2023
"MA-D18-01","阿里山61林班","4","214235","2627171",2023
"MA-D18-01","阿里山61林班","6","214039","2626612",2023
"MA-D18-02","阿里山63林班林北大坑","4","212347","2628235",2023
"MA-D18-04","勞水坑","3","216284","2616262",2023
"MA-D18-04","勞水坑","6","215778","2616463",2023
"MA-E21-10","瑞里","1","215135","2603361",2023
"MA-E22-03","隙頂國小草山分校","2","213515","2585418",2023
"MA-E22-03","隙頂國小草山分校","5","213199","2584752",2023
"MA-E22-03","隙頂國小草山分校","6","213229","2584509",2023
"MA-E22-05","蘆籐坪","2","212674","2582757",2023
"MA-E22-05","蘆籐坪","4","212453","2582326",2023
