"樣區編號","樣區名稱","樣點編號","TWD97_X","TWD97_Y","年"
"MA-A02-04","羅區71-72林班","2","325641","2722361",2024
"MA-A02-05","羅區73-75，79-80林班","5","327665","2722406",2024
"MA-A03-05","新店十六分","3","311032","2759828",2024
"MA-A04-02","宜40","5","316612","2738618",2024
"MA-A04-07","礁溪","4","328378","2749071",2024
"MA-A05-01","和區2林班","3","323424","2690063",2024
"MA-A05-01","和區2林班","4","323286","2689914",2024
"MA-B06-06","南庄3林班","8","248363","2719991",2024
"MA-B07-02","洞口(復興分站)","6","285232","2738937",2024
"MA-B09-03","哈盆越嶺古道","2","302107","2740975",2024
"MA-C12-05","安區129、130林班","2","241358","2687640",2024
"MA-C12-05","安區129、130林班","5","242000","2687950",2024
"MA-C12-06","安區130、131林班","1","241045","2685746",2024
"MA-C12-07","安區118、119林班","3","244770","2687163",2024
"MA-C12-09","安區115林班","6","244241","2691396",2024
"MA-C12-12","水底寮","5","231400","2671061",2024
"MA-C13-08","勢麗仙區41","6","245024","2676403",2024
"MA-D14-01","孫海橋","9","251784","2631222",2024
"MA-D14-07","巒大25林班","3","241351","2635785",2024
"MA-D17-05","武界水庫","2","256572","2645710",2024
"MA-D17-05","武界水庫","5","257244","2646461",2024
"MA-D17-06","武界林道（久久巢山）","5","255790","2642499",2024
"MA-D18-04","勞水坑","2","216506","2616212",2024
"MA-E19-08","鈺鼎","1","199624","2553424",2024
"MA-E22-04","山麻湖公車站","1","210662","2584198",2024
"MA-E22-04","山麻湖公車站","2","210706","2583965",2024
"MA-E22-05","蘆籐坪","1","212924","2582729",2024
"MA-E22-06","大埔事業區39林班","5","205007","2581636",2024
"MA-E22-08","九恭崎腳","5","213293","2577052",2024
"MA-E22-09","長枝坑溪","3","209186","2573693",2024
"MA-E22-09","長枝坑溪","6","209636","2573158",2024
"MA-E22-12","麻竹湖吊橋","4","213449","2574960",2024
"MA-E22-13","奉龍谷瀑布","1","210252","2572885",2024
"MA-F23-09","扇平林道","6","214591","2540817",2024
"MA-F24-08","46林班","2","207551","2537684",2024
"MA-F24-08","46林班","3","207545","2537932",2024
"MA-F24-10","月光山","2","203128","2536007",2024
"MA-F25-02","觀望山","4","219004","2518362",2024
"MA-F25-03","沙溪林道","4","216975","2524183",2024
"MA-F25-04","三地門園區","3","216087","2511617",2024
"MA-F25-08","枋山溪管制站","1","221266","2464484",2024
"MA-F25-08","枋山溪管制站","6","222033","2463461",2024
"MA-F25-08","枋山溪管制站","7","223081","2463930",2024
"MA-F25-11","竹坑","5","220683","2451266",2024
"MA-F25-13","往舊日本宿舍","1","215967","2500115",2024
"MA-F26-01","墾丁苗圃","6","230083","2428768",2024
"MA-F26-05","恆春事業區第13林班","2","227279","2449996",2024
"MA-F26-05","恆春事業區第13林班","4","226947","2450151",2024
"MA-F26-05","恆春事業區第13林班","5","227027","2450378",2024
"MA-F26-05","恆春事業區第13林班","6","227213","2450483",2024
"MA-G27-05","阿眉溪","3","284682","2571575",2024
"MA-G27-06","台23線","1","278904","2557004",2024
"MA-G27-08","長良","4","274863","2572728",2024
"MA-G27-09","安通越嶺古道","5","288308","2576000",2024
"MA-G28-05","嶺頂路207","2","308202","2639766",2024
"MA-G28-05","嶺頂路207","3","308132","2639544",2024
"MA-G28-06","月眉208卡箱","1","307295","2640471",2024
"MA-G28-06","月眉208卡箱","4","307294","2640021",2024
"MA-G29-02","三棧溪","2","310798","2667236",2024
"MA-G29-12","迴頭灣","9","299467","2677308",2024
"MA-G30-11","新社產業道路梳子壩","6","304695","2616981",2024
"MA-H31-01","大武1林班麻林道","5","243694","2499313",2024
"MA-H31-01","大武1林班麻林道","6","243905","2499416",2024
"MA-H31-03","大武21林班金崙溪流域","4","239568","2490689",2024
