"樣區編號","樣區名稱","樣點編號","TWD97_X","TWD97_Y","年"
"MA-A02-07","宜蘭縣猴猴坑※","5","337839","2715986",2025
"MA-A05-01","和區2林班","2","323627","2690082",2025
"MA-A05-03","和區88林班","6","326197","2691499",2025
"MA-A05-06","宜蘭縣烏石鼻※","7","334992","2709173",2025
"MA-B06-01","1329區外保安林","6","236358","2705227",2025
"MA-B06-08","坪林","11","238112","2688357",2025
"MA-B09-03","哈盆越嶺古道","2","302107","2740975",2025
"MA-C12-09","安區115林班","4","244014","2691735",2025
"MA-D14-07","巒大25林班","7","241394","2635077",2025
"MA-D16-03","牽牛坑","1","230228","2660230",2025
"MA-D17-05","武界水庫","1","256007","2645339",2025
"MA-D17-05","武界水庫","3","256727","2645956",2025
"MA-D17-05","武界水庫","4","256955","2646328",2025
"MA-D17-06","武界林道（久久巢山）","1","256716","2641997",2025
"MA-D17-06","武界林道（久久巢山）","2","256531","2642038",2025
"MA-D17-06","武界林道（久久巢山）","5","255790","2642499",2025
"MA-D18-07","豐柏步道","1","211295","2635546",2025
"MA-E21-10","瑞里","2","215348","2603278",2025
"MA-E22-03","隙頂國小草山分校","4","213131","2584979",2025
"MA-E22-05","蘆籐坪","2","212674","2582757",2025
"MA-E22-05","蘆籐坪","4","212453","2582326",2025
"MA-E22-08","九恭崎腳","1","212469","2577494",2025
"MA-E22-09","長枝坑溪","4","209410","2573629",2025
"MA-E22-11","公興國小","1","212386","2591530",2025
"MA-E22-12","麻竹湖吊橋","6","213180","2574510",2025
"MA-E22-13","奉龍谷瀑布","5","210768","2573018",2025
"MA-E22-14","溪頭","3","212738","2604916",2025
"MA-F23-04","七坑溫泉","6","222502","2554835",2025
"MA-F24-04","47,49林班","3","209201","2538709",2025
"MA-F24-08","46林班","2","207551","2537684",2025
"MA-F25-04","三地門園區","4","216812","2511296",2025
"MA-F25-08","枋山溪管制站","2","221655","2464484",2025
"MA-F25-08","枋山溪管制站","7","223081","2463930",2025
"MA-F25-09","往潮39保留地","2","225162","2457079",2025
"MA-F25-10","丹路","1","224069","2455630",2025
"MA-F25-10","丹路","10","224440","2455785",2025
"MA-F25-10","丹路","2","223996","2455438",2025
"MA-F25-10","丹路","3","223954","2455205",2025
"MA-F25-10","丹路","9","224207","2455864",2025
"MA-F25-11","竹坑","6","220884","2451394",2025
"MA-F25-13","往舊日本宿舍","2","216650","2500238",2025
"MA-F26-01","墾丁苗圃","1","230183","2428173",2025
"MA-F26-01","墾丁苗圃","5","230038","2428568",2025
"MA-F26-05","恆春事業區第13林班","1","227277","2449661",2025
"MA-F26-05","恆春事業區第13林班","2","227279","2449996",2025
"MA-F26-05","恆春事業區第13林班","3","227176","2450113",2025
"MA-F26-05","恆春事業區第13林班","4","226947","2450151",2025
"MA-F26-05","恆春事業區第13林班","5","227027","2450378",2025
