"樣區編號","樣區名稱","樣點編號","TWD97_X","TWD97_Y","年"
"MA-A02-06","羅區101林班","1","332556","2721662",2021
"MA-A02-06","羅區101林班","2","332426","2721510",2021
"MA-A02-06","羅區101林班","3","332410","2721311",2021
"MA-A02-07","宜蘭縣猴猴坑","7","337824","2716426",2021
"MA-A03-03","汐止四分尾山","7","317941","2770381",2021
"MA-A03-04","石碇小格頭","2","314401","2763059",2021
"MA-A03-07","台灣油杉自然保留區","10","317942","2754484",2021
"MA-A04-02","宜40","3","316938","2738888",2021
"MA-A05-01","和區2林班","1","323585","2690286",2021
"MA-A05-01","和區2林班","2","323627","2690082",2021
"MA-A05-01","和區2林班","4","323286","2689914",2021
"MA-A05-01","和區2林班","5","323090","2689863",2021
"MA-A05-01","和區2林班","6","322897","2689910",2021
"MA-A05-01","和區2林班","3","323424","2690063",2021
"MA-A05-03","和區88林班","5","326227","2691222",2021
"MB-A01-03","明池","6","297111","2726731",2021
"MB-A01-03","明池","2","296606","2726634",2021
"MB-A01-03","明池","4","296835","2726455",2021
"MA-B06-01","1329區外保安林","3","236410","2704930",2021
"MA-B08-03","清泉","5","261421","2717389",2021
"MB-B06-11","紅毛山(大坪)","6","248356","2713074",2021
"MC-B08-16","大霸A","6","272313","2706616",2021
"MA-C12-07","安區118、119林班","3","244770","2687163",2021
"MA-C13-07","勢麗仙區24","5","241562","2676425",2021
"MA-C13-08","勢麗仙區41","4","244421","2676272",2021
"MB-C10-09","甲區38林班","5","281944","2693176",2021
"MB-C11-01","菜園林道","4","246628","2680177",2021
"MB-C11-02","220林道","5","248344","2682782",2021
"MB-C11-07","船形山苗圃","5","250905","2683884",2021
"MA-D14-01","孫海橋","2","250493","2631204",2021
"MA-D14-07","巒大25林班","4","241333","2635588",2021
"MA-D14-07","巒大25林班","5","241208","2635434",2021
"MA-D15-02","巒大8林班","4","235398","2643540",2021
"MA-D16-04","埔里13、14林班","1","226945","2654901",2021
"MA-D18-04","勞水坑","1","216710","2616264",2021
"MA-D18-04","勞水坑","6","215778","2616463",2021
"MB-D14-02","二分所","2","253985","2630715",2021
"MB-D14-02","二分所","8","254937","2630340",2021
"MB-D14-04","五分所","8","263880","2627507",2021
"MB-D15-01","明湖水庫(高山巷)","7","234766","2640156",2021
"MB-D15-04","台大實驗林內，近123、124林班","1","239962","2615165",2021
"MB-D15-04","台大實驗林內，近123、124林班","5","240599","2615073",2021
"MB-D18-06","杉林溪(分站)","1","229364","2615454",2021
"MB-D18-06","杉林溪(分站)","6","228153","2614951",2021
"MA-E19-08","鈺鼎","5","200014","2554340",2021
"MA-E21-09","獨立山","3","209894","2604058",2021
"MA-E21-10","瑞里","2","215348","2603278",2021
"MA-E21-10","瑞里","5","215786","2603185",2021
"MA-E21-10","瑞里","1","215135","2603361",2021
"MA-E21-10","瑞里","4","215565","2603215",2021
"MA-E21-11","瑞峰","4","216340","2606904",2021
