"樣區編號","樣區名稱","樣點編號","TWD97_X","TWD97_Y","年"
"MA-A01-01","仁澤B","6","301560","2716506",2020
"MA-A01-02","仁澤A","3","301314","2715672",2020
"MA-A02-04","羅區71-72林班","3","325705","2722550",2020
"MA-A02-05","羅區73-75，79-80林班","1","327929","2722894",2020
"MA-A02-07","宜蘭縣猴猴坑※","10","337634","2717068",2020
"MA-A03-07","台北縣坪林台灣油杉自然保留區※","6","318341","2755438",2020
"MA-A04-02","宜40","1","317075","2738603",2020
"MA-A04-02","宜40","3","316938","2738888",2020
"MA-A04-07","礁溪","1","328258","2749665",2020
"MA-A05-01","和區2林班","3","323424","2690063",2020
"MA-A05-01","和區2林班","4","323286","2689914",2020
"MA-A05-01","和區2林班","2","323627","2690082",2020
"MA-A05-02","和區91林班","5","329219","2698354",2020
"MA-A05-02","和區91林班","4","329358","2698179",2020
"MA-A05-02","和區91林班","6","329014","2698519",2020
"MA-A05-03","和區88林班","6","326197","2691499",2020
"MA-A05-03","和區88林班","2","326986","2691626",2020
"MA-A05-04","南區62林班","6","326457","2711099",2020
"MA-A05-06","宜蘭縣烏石鼻※","7","334992","2709173",2020
"MA-A05-08","大濁水林道","3","324226","2690622",2020
"MA-A05-08","大濁水林道","5","324914","2690801",2020
"MA-B06-08","坪林","2","238390","2688399",2020
"MA-B07-07","大溪事業區43林班","1","291307","2727546",2020
"MA-B09-01","西坑※","3","310928","2749028",2020
"MA-B09-01","西坑※","4","310760","2748803",2020
"MA-B09-02","信賢","5","303313","2747071",2020
"MA-C12-05","安區129、130林班","4","241767","2687926",2020
"MA-C12-06","安區130、131林班","3","241462","2685454",2020
"MA-C12-06","安區130、131林班","5","241924","2685325",2020
"MA-D14-07","巒大25林班","2","241438","2635993",2020
"MA-D14-07","巒大25林班","3","241351","2635785",2020
"MA-D15-02","巒大8林班","3","235516","2643343",2020
"MA-D16-01","菩提寺","6","232246","2658936",2020
"MA-D16-03","牽牛坑","3","230072","2660347",2020
"MA-D16-04","埔里13、14林班","5","226279","2654851",2020
"MA-D16-04","埔里13、14林班","6","226593","2654727",2020
"MA-D16-04","埔里13、14林班","1","226945","2654901",2020
"MA-D16-07","阿冷坑林道6K","3","243361","2664436",2020
"MA-E19-08","鈺鼎","2","199814","2553766",2020
"MA-E21-11","瑞峰","6","215889","2606823",2020
"MA-E21-11","瑞峰","4","216340","2606904",2020
"MA-E21-11","瑞峰","5","216547","2606815",2020
"MA-E21-11","瑞峰","2","215952","2607056",2020
"MA-E21-11","瑞峰","3","216108","2606894",2020
"MA-E22-02","天馬瀑布","3","210166","2585953",2020
"MA-E22-03","隙頂國小草山分校","1","212964","2585464",2020
"MA-E22-03","隙頂國小草山分校","5","213199","2584752",2020
